event_id,release_version,item_index,item_kind,category,item_text,note_status,source_url,source_ref,evidence_class
"pi-coding-agent-0.85.1-001","0.85.1","1","BULLET","New Features","**GPT-6 Astra** — Available through OpenAI API keys and OpenAI Codex subscriptions. See [API Keys](docs/providers.md#api-keys) and [OpenAI Codex](docs/providers.md#openai-codex).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-002","0.85.1","2","BULLET","Added","Added GPT-6 Astra for OpenAI API keys and OpenAI Codex subscriptions.","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-003","0.85.1","3","BULLET","Added","Added five-times-faster mouse wheel scrolling while holding Alt in fullscreen mode ([#9166](https://github.com/earendil-works/pi/pull/9166) by [@xl0](https://github.com/xl0)).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-004","0.85.1","4","BULLET","Fixed","Fixed configurable save keybindings in the model and thinking selectors ([#9149](https://github.com/earendil-works/pi/pull/9149) by [@rwachtler](https://github.com/rwachtler)).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-005","0.85.1","5","BULLET","Fixed","Fixed SDK import failures caused by unintentionally publishing internal experimental code and dependencies in 0.85.0. The experimental `client` and `experimental/plugin` subpaths and server/client commands are now source-only through `pi-test.sh`; the supported local SDK and stdio RPC API are unchanged ([#9132](https://github.com/earendil-works/pi/issues/9132)).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-006","0.85.1","6","BULLET","Fixed","Fixed mouse hover changing selection and recentering autocomplete and settings lists, causing clicks to target a different item.","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.1-007","0.85.1","7","BULLET","Fixed","Fixed long prompt-cache requests for GPT-5.6+ Responses models to use `prompt_cache_options.ttl: ""30m""` instead of `prompt_cache_retention: ""24h""`.","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.1/packages/coding-agent/CHANGELOG.md","v0.85.1@d981de1229ef899957bbe968bc8dcda02a21f477","EXTRACTED"
"pi-coding-agent-0.85.0-001","0.85.0","1","BULLET","New Features","**Persistent Claude thinking effort** — Supported Anthropic transports preserve per-turn effort and recover safely from signed-thinking mismatches. See [Model Configuration](docs/models.md#model-configuration).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.0/packages/coding-agent/CHANGELOG.md","v0.85.0@107d79f11072bbc8a3a757ed7fd69596bee7d68c","EXTRACTED"
"pi-coding-agent-0.85.0-002","0.85.0","2","BULLET","New Features","**Fullscreen transcript controls** — Jump to the latest message from a scrolled transcript and use the embedded working indicator. See [TUI Fullscreen Viewport](docs/keybindings.md#tui-fullscreen-viewport).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.0/packages/coding-agent/CHANGELOG.md","v0.85.0@107d79f11072bbc8a3a757ed7fd69596bee7d68c","EXTRACTED"
"pi-coding-agent-0.85.0-003","0.85.0","3","BULLET","New Features","**Restorable in-memory sessions** — Resume externally stored session entries through the SDK. See [Session Management](docs/sdk.md#session-management).","PRESENT","https://raw.githubusercontent.com/earendil-works/pi/v0.85.0/packages/coding-agent/CHANGELOG.md","v0.85.0@107d79f11072bbc8a3a757ed7fd69596bee7d68c","EXTRACTED"
