record_id,artifact_type,raw_version,normalized_version,package_or_repo,date_raw,source_url,source_ref,release_status,notes
pi-source-a74c5da,SOURCE_COMMIT,a74c5da,,pi-monorepo,2025-08-09,https://github.com/earendil-works/pi/commit/a74c5da,a74c5da,SOURCE_INCEPTION,Initial repository commit
pi-agent-0.5.0,REGISTRY_VERSION,0.5.0,0.5.0,@mariozechner/pi-agent,2025-08-09,https://registry.npmjs.org/@mariozechner%2Fpi-agent,0.5.0,FIRST_PACKAGE_ARTIFACT,Not yet the coding-agent product
pi-scaffold-v0.0.1,TAG,v0.0.1,0.0.1,pi-monorepo,2025-09-09,https://raw.githubusercontent.com/earendil-works/pi/v0.0.1/package.json,v0.0.1,SCAFFOLD,No packages/coding-agent in root snapshot
pi-coding-agent-0.5.45,REGISTRY_VERSION,0.5.45,0.5.45,@mariozechner/coding-agent,2025-10-22,https://registry.npmjs.org/@mariozechner%2Fcoding-agent/0.5.45,0.5.45,FIRST_INSTALLABLE_CODING_AGENT,Package artifact predates the first tagged coding-agent snapshot
pi-tag-v0.0.2,TAG,v0.0.2,0.0.2,pi-monorepo,2025-10-26,https://raw.githubusercontent.com/earendil-works/pi/v0.0.2/packages/coding-agent/package.json,v0.0.2,FIRST_TAGGED_CODING_AGENT,Contains @mariozechner/coding-agent 0.5.47 and coding-agent binary
pi-coding-agent-0.6.2,REGISTRY_VERSION,0.6.2,0.6.2,@mariozechner/pi-coding-agent,UNKNOWN,https://registry.npmjs.org/@mariozechner%2Fpi-coding-agent/0.6.2,0.6.2,PACKAGE_RENAME,0.6.1 is absent; historical Mario scope
pi-cli-v0.7.13,TAG,v0.7.13,0.7.13,@mariozechner/pi-coding-agent,UNKNOWN,https://raw.githubusercontent.com/badlogic/pi-mono/v0.7.13/packages/coding-agent/package.json,v0.7.13,CLI_IDENTITY,Binary identity is pi
pi-public-0.10.0,RELEASE_AND_CHANGELOG,0.10.0,0.10.0,@mariozechner/pi-coding-agent,2025-11-25|2025-11-27,https://github.com/earendil-works/pi/releases/tag/v0.10.0,v0.10.0,INITIAL_PUBLIC_RELEASE,Main changelog date 2025-11-25; tagged changelog/release date 2025-11-27; API publication lookup unverified
pi-mario-0.73.1,REGISTRY_VERSION,0.73.1,0.73.1,@mariozechner/pi-coding-agent,UNKNOWN,https://raw.githubusercontent.com/earendil-works/pi/v0.73.1/packages/coding-agent/package.json,v0.73.1,PRE_SCOPE_MIGRATION,Last Mario-scoped coding-agent package
pi-earendil-0.74.0,REGISTRY_VERSION,0.74.0,0.74.0,@earendil-works/pi-coding-agent,UNKNOWN,https://raw.githubusercontent.com/earendil-works/pi/v0.74.0/packages/coding-agent/package.json,v0.74.0,SCOPE_MIGRATION,Migration merge 551385e; release commit 1eee081
pi-current-0.85.1,RELEASE_AND_REGISTRY,0.85.1,0.85.1,@earendil-works/pi-coding-agent,2026-09-05,https://registry.npmjs.org/@earendil-works%2Fpi-coding-agent/0.85.1,d981de1229ef899957bbe968bc8dcda02a21f477,CURRENT_OBSERVED,No v1.0.0 observed at cutoff
